FFT Gray Avg,FFT Gray Median,FFT Gray SD,FFT Gray Max,FFT Gray Min,FFT Gray Mode,FFT Gray Midpoint,FFT Gray Var,FFT Red Avg,FFT Red Median,FFT Red SD,FFT Red Max,FFT Red Min,FFT Red Mode,FFT Red Midpoint,FFT Red Var,FFT Green Avg,FFT Green Median,FFT Green SD,FFT Green Max,FFT Green Min,FFT Green Mode,FFT Green Midpoint,FFT Green Var,FFT Blue Avg,FFT Blue Median,FFT Blue SD,FFT Blue Max,FFT Blue Min,DCT Gray,DCT Red,DCT Green,Wavelet Gray Avg,Wavelet Gray Median,Wavelet Gray SD,Wavelet Gray Max,Wavelet Gray Min,Wavelet Gray Mode,Wavelet Gray Midpoint,Wavelet Gray Var,Wavelet Red Avg,Wavelet Red Median,Wavelet Red SD,Wavelet Red Max,Wavelet Red Min,Wavelet Red Mode,Wavelet Red Midpoint,Wavelet Red Var,Wavelet Green Avg,Wavelet Green Median,Wavelet Green SD,Wavelet Green Max,Wavelet Green Min,Wavelet Green Mode,Wavelet Green Midpoint,Wavelet Green Var,Wavelet Blue Avg,Wavelet Blue Median,Wavelet Blue SD,Wavelet Blue Max,Wavelet Blue Min
157.00,-1029.75,24431.18,5149970.00,4.35,4.35,2574987.17,66200000000000000000.00,152.00,255.52,20253.32,3969264.00,-2.73,-2.73,1984630.63,24200000000000000000.00,169.00,930.83,25398.88,5263654.00,-0.47,-0.47,2631826.76,73000000000000000000.00,NaN,NaN,NaN,NaN,NaN,22990.94,17719.93,23498.46,3.22,3.09,0.31,7.52,0.43,0.43,3.98,0.49,2.48,2.28,0.33,7.65,0.10,0.10,3.88,0.80,3.29,3.21,0.37,7.51,0.23,0.23,3.87,0.87,NaN,NaN,NaN,NaN,NaN
129.00,-349.07,22606.96,4399923.00,-3.56,-3.56,2199959.72,38300000000000000000.00,115.00,-281.63,13208.25,2187433.00,2.93,2.93,1093717.96,2760000000000000000.00,130.00,-241.73,23693.14,4208839.00,-1.95,-1.95,2104418.52,36800000000000000000.00,NaN,NaN,NaN,NaN,NaN,19642.51,9765.33,18789.46,2.75,2.39,0.45,6.94,0.00,0.00,3.47,1.93,1.37,0.49,0.22,5.60,0.00,0.00,2.80,0.25,2.63,2.12,0.55,7.24,0.00,0.00,3.62,3.71,NaN,NaN,NaN,NaN,NaN
141.00,-319.09,27245.78,5824453.00,-3.22,-3.22,2912224.89,105000000000000000000.00,83.00,743.41,21948.24,4467520.00,-14.40,-14.40,2233752.80,36700000000000000000.00,154.00,160.66,27473.84,5716825.00,-8.16,-8.16,2858408.42,99300000000000000000.00,NaN,NaN,NaN,NaN,NaN,26002.02,19944.29,25521.54,3.64,3.76,0.36,7.95,0.57,0.74,4.26,0.68,2.79,2.55,0.43,7.96,0.13,0.13,4.05,1.34,3.57,3.83,0.51,7.95,0.09,0.09,4.02,1.81,NaN,NaN,NaN,NaN,NaN
83.00,365.62,21139.89,4179473.00,-6.83,-6.83,2089733.08,32800000000000000000.00,46.00,129.84,15252.53,2766194.00,0.08,0.08,1383097.04,6120000000000000000.00,95.00,352.04,21048.93,4148579.00,-0.12,-0.12,2074289.44,30400000000000000000.00,NaN,NaN,NaN,NaN,NaN,18658.36,12349.08,18520.44,2.61,2.76,0.26,7.39,0.10,0.10,3.74,0.53,1.73,1.89,0.44,7.46,0.07,0.15,3.77,0.93,2.59,2.88,0.28,7.39,0.10,0.10,3.75,0.62,NaN,NaN,NaN,NaN,NaN
94.00,-461.25,14376.07,2894163.00,-6.94,-6.94,1447078.03,6760000000000000000.00,78.00,457.92,8548.26,1696724.00,4.29,4.29,848364.14,771000000000000000.00,101.00,132.11,13531.92,2793633.00,2.47,2.47,1396817.74,5620000000000000000.00,NaN,NaN,NaN,NaN,NaN,12920.37,7574.66,12471.58,1.81,1.62,0.33,4.99,0.12,0.28,2.55,0.34,1.06,0.89,0.12,4.02,0.10,0.10,2.06,0.02,1.75,1.69,0.24,4.49,0.12,0.12,2.30,0.12,NaN,NaN,NaN,NaN,NaN
117.00,-490.11,20813.58,4337494.00,-6.79,-6.79,2168743.61,35600000000000000000.00,62.00,924.45,7251.15,1103070.00,13.33,13.33,551541.66,243000000000000000.00,126.00,89.80,22610.60,4384571.00,0.28,0.28,2192285.64,38900000000000000000.00,NaN,NaN,NaN,NaN,NaN,19363.81,4924.42,19573.98,2.71,2.45,0.35,6.03,0.34,0.34,3.19,0.66,0.69,0.30,0.20,4.79,0.01,0.02,2.40,0.12,2.74,2.47,0.54,6.89,0.02,0.02,3.46,2.88,NaN,NaN,NaN,NaN,NaN
52.00,-561.72,17616.69,3058135.00,-1.65,-1.65,1529066.68,11100000000000000000.00,25.00,-424.60,13974.72,1903728.00,7.29,7.29,951867.64,2220000000000000000.00,66.00,-428.03,17733.87,3080297.00,2.40,2.40,1540149.70,11100000000000000000.00,NaN,NaN,NaN,NaN,NaN,13652.39,8498.79,13751.33,1.91,1.58,0.56,8.00,0.00,0.00,4.00,2.99,1.19,0.54,0.72,7.99,0.00,0.00,3.99,4.51,1.93,1.65,0.59,8.00,0.00,0.00,4.00,3.18,NaN,NaN,NaN,NaN,NaN
173.00,-127.91,28072.28,5833592.00,2.29,2.29,2916797.15,117000000000000000000.00,173.00,-669.67,26526.49,5151622.00,0.58,0.58,2575811.29,75800000000000000000.00,165.00,884.24,27815.15,5717027.00,8.96,8.96,2858517.98,110000000000000000000.00,NaN,NaN,NaN,NaN,NaN,26042.82,22998.31,25522.44,3.65,3.19,0.39,7.70,0.22,0.22,3.96,1.25,3.22,2.30,0.41,7.86,0.24,0.24,4.05,1.75,3.57,2.98,0.40,7.59,0.22,0.22,3.91,1.36,NaN,NaN,NaN,NaN,NaN
97.00,-357.37,23354.71,4823854.00,13.92,13.92,2411933.96,54000000000000000000.00,53.00,-861.12,12769.49,2246011.00,1.68,1.68,1123006.34,2960000000000000000.00,106.00,-803.67,24327.27,4909189.00,7.60,7.60,2454598.30,59300000000000000000.00,NaN,NaN,NaN,NaN,NaN,21535.06,10026.83,21916.02,3.02,3.23,0.22,6.23,0.15,0.15,3.19,0.34,1.40,1.10,0.19,5.73,0.02,0.02,2.88,0.17,3.07,3.26,0.27,6.31,0.10,0.10,3.20,0.64,NaN,NaN,NaN,NaN,NaN
70.00,143.49,19592.55,4093391.00,-7.09,-7.09,2046691.96,27500000000000000000.00,29.00,-384.59,10158.07,2001633.00,-3.68,-3.68,1000814.66,1710000000000000000.00,81.00,-341.94,19263.29,4033457.00,5.04,5.04,2016731.02,24800000000000000000.00,NaN,NaN,NaN,NaN,NaN,18274.07,8935.86,18006.50,2.56,2.57,0.23,5.40,0.27,0.27,2.84,0.18,1.25,1.21,0.30,4.72,0.13,0.13,2.43,0.21,2.52,2.67,0.18,5.75,0.30,0.30,3.02,0.11,NaN,NaN,NaN,NaN,NaN
87.00,-553.33,22128.61,4564209.00,1.14,1.14,2282105.07,40400000000000000000.00,34.00,290.04,11422.57,1914564.00,-9.27,-9.27,957277.37,1370000000000000000.00,96.00,32.03,23357.83,4807040.00,-14.32,-14.32,2403512.84,50300000000000000000.00,NaN,NaN,NaN,NaN,NaN,20375.93,8547.16,21460.00,2.85,2.56,0.41,6.25,0.45,0.49,3.35,0.77,1.20,0.71,0.43,5.71,0.03,0.03,2.87,0.74,3.01,2.84,0.41,6.67,0.49,0.54,3.58,0.71,NaN,NaN,NaN,NaN,NaN
109.00,50.80,21492.06,4294465.00,-1.64,-1.64,2147231.68,40700000000000000000.00,49.00,516.09,10890.49,1798342.00,-2.80,-2.80,899169.60,1670000000000000000.00,123.00,289.12,19515.54,3549365.00,-4.05,-4.05,1774680.48,22000000000000000000.00,NaN,NaN,NaN,NaN,NaN,19171.72,8028.31,15845.38,2.69,2.81,0.25,6.16,0.09,0.09,3.12,0.53,1.12,0.83,0.42,5.20,0.03,0.03,2.61,0.58,2.22,1.99,0.38,6.47,0.08,0.08,3.27,1.26,NaN,NaN,NaN,NaN,NaN
129.00,885.18,21291.83,4291131.00,-5.15,-5.15,2145562.92,33000000000000000000.00,40.00,-852.49,14243.07,2580036.00,-0.24,-0.24,1290017.88,4720000000000000000.00,151.00,224.67,21609.64,4318067.00,-1.42,-1.42,2159032.79,33400000000000000000.00,NaN,NaN,NaN,NaN,NaN,19156.83,11518.02,19277.08,2.68,2.91,0.19,6.04,0.20,0.20,3.12,0.25,1.61,1.46,0.25,5.94,0.01,0.01,2.97,0.31,2.70,2.54,0.23,6.21,0.20,0.20,3.21,0.38,NaN,NaN,NaN,NaN,NaN
164.00,-499.31,28975.07,6191576.00,-3.62,-3.62,3095786.19,138000000000000000000.00,160.00,396.72,21271.67,4189939.00,-1.39,-1.39,2094968.80,31900000000000000000.00,170.00,-121.66,30488.97,6448645.00,2.86,2.86,3224323.93,165000000000000000000.00,NaN,NaN,NaN,NaN,NaN,27640.96,18705.08,28788.59,3.87,3.89,0.46,6.71,0.20,0.20,3.45,1.52,2.62,2.27,0.35,7.00,0.22,0.22,3.61,1.15,4.03,4.07,0.49,7.12,0.20,0.20,3.66,1.86,NaN,NaN,NaN,NaN,NaN
150.00,-550.10,25976.27,5393729.00,0.07,0.07,2696864.53,86800000000000000000.00,104.00,98.42,22753.43,4446055.00,0.18,0.18,2223027.59,39000000000000000000.00,154.00,519.39,24797.45,5032814.00,1.43,1.43,2516407.72,65000000000000000000.00,NaN,NaN,NaN,NaN,NaN,24079.15,19848.46,22467.92,3.37,3.86,0.44,6.11,0.07,0.11,3.09,1.29,2.78,2.80,0.37,6.62,0.05,0.11,3.34,1.15,3.15,3.15,0.36,6.26,0.05,0.10,3.15,1.05,NaN,NaN,NaN,NaN,NaN
131.00,167.15,18603.77,4009978.00,-0.94,-0.94,2004988.53,23900000000000000000.00,135.00,330.89,16525.76,3480944.00,-0.05,-0.05,1740471.98,13300000000000000000.00,135.00,615.35,16889.71,3500623.00,-1.52,-1.52,1750310.74,14000000000000000000.00,NaN,NaN,NaN,NaN,NaN,17901.69,15539.93,15627.78,2.51,2.55,0.25,6.56,0.43,0.43,3.50,0.16,2.18,2.08,0.29,7.73,0.43,0.43,4.08,0.32,2.19,2.24,0.21,6.58,0.27,0.27,3.43,0.14,NaN,NaN,NaN,NaN,NaN
49.00,367.12,24440.17,4742149.00,2.64,2.64,2371075.82,52100000000000000000.00,44.00,221.00,20026.86,3446499.00,0.82,0.82,1723249.91,15500000000000000000.00,54.00,-390.67,24950.42,4654435.00,1.05,1.05,2327218.02,52800000000000000000.00,NaN,NaN,NaN,NaN,NaN,21170.31,15386.16,20778.73,2.97,2.38,0.30,7.81,0.26,0.26,4.03,0.94,2.15,0.80,0.44,7.95,0.04,0.04,3.99,1.59,2.91,1.89,0.26,7.81,0.25,0.29,4.03,0.80,NaN,NaN,NaN,NaN,NaN
9.00,-188.54,19616.14,3667264.00,-2.37,-2.37,1833630.82,20800000000000000000.00,9.00,-308.58,12523.00,2168295.00,0.11,0.11,1084147.55,2490000000000000000.00,7.00,-358.16,18841.95,3499874.00,0.42,0.42,1749937.21,16600000000000000000.00,NaN,NaN,NaN,NaN,NaN,16371.71,9679.89,15624.44,2.29,2.16,0.45,6.56,0.23,0.23,3.40,1.23,1.36,0.96,0.52,6.83,0.14,0.14,3.48,1.46,2.19,2.10,0.39,6.64,0.16,0.16,3.40,0.93,NaN,NaN,NaN,NaN,NaN
174.00,480.19,27197.73,5950089.00,1.07,1.07,2975045.04,117000000000000000000.00,77.00,192.93,11907.90,1927351.00,-2.58,-2.58,963674.21,2170000000000000000.00,181.00,208.46,31089.76,6720439.00,3.14,3.14,3360221.07,188000000000000000000.00,NaN,NaN,NaN,NaN,NaN,26562.90,8604.25,30001.96,3.72,3.86,0.39,6.72,1.50,1.50,4.11,0.56,1.21,1.11,0.55,6.47,0.01,0.01,3.24,1.62,4.20,4.12,0.37,6.75,0.82,0.82,3.79,0.69,NaN,NaN,NaN,NaN,NaN
122.00,301.97,24868.66,5279199.00,2.15,2.15,2639600.57,72300000000000000000.00,58.00,-396.49,11743.73,2034044.00,-1.54,-1.54,1017021.23,2440000000000000000.00,149.00,-290.79,27006.17,5724609.00,2.83,2.83,2862305.91,99300000000000000000.00,NaN,NaN,NaN,NaN,NaN,23567.85,9080.55,25556.29,3.30,3.47,0.31,7.04,0.49,1.07,3.76,0.47,1.27,1.10,0.29,5.82,0.02,0.02,2.92,0.34,3.58,3.82,0.37,7.39,0.54,0.54,3.97,0.81,NaN,NaN,NaN,NaN,NaN
