FFT Gray Avg,FFT Gray Median,FFT Gray SD,FFT Gray Max,FFT Gray Min,FFT Gray Mode,FFT Gray Midpoint,FFT Red Avg,FFT Red Median,FFT Red SD,FFT Red Max,FFT Red Min,FFT Red Mode,FFT Red Midpoint,FFT Green Avg,FFT Green Median,FFT Green SD,FFT Green Max,FFT Green Min,FFT Green Mode,FFT Green Midpoint,DCT Gray,DCT Red,DCT Green,Wavelet Gray Avg,Wavelet Gray Median,Wavelet Gray SD,Wavelet Gray Max,Wavelet Gray Min,Wavelet Gray Mode,Wavelet Gray Midpoint,Wavelet Red Avg,Wavelet Red Median,Wavelet Red SD,Wavelet Red Max,Wavelet Red Min,Wavelet Red Mode,Wavelet Red Midpoint,Wavelet Green Avg,Wavelet Green Median,Wavelet Green SD,Wavelet Green Max,Wavelet Green Min,Wavelet Green Mode,Wavelet Green Midpoint,Red,Green,Blue,Gray_Average,Gray_Median,Gray_SD,Gray_Max,Gray_Min,Gray_Skewness,Gray_Kurtusis,Gray_IQR,Area_Mean,Area_SD,BoundingBox_Mean,BoundingBox_SD,BoundingBox_Skewness,BoundingBox_Kurtusis,Eccentricity_Mean,Eccentricity_SD,FilledArea_Mean,FilledArea_SD,Area,Entropy,Above_Red,Above_Green,Above_Blue,Below_Red,Below_Green,Below_Blue,Target
109.0,595.32,21902.09,4494934.0,0.51,0.51,2247467.26,54.0,-586.98,14544.45,2476523.0,5.25,5.25,1238264.12,133.0,-762.74,24363.7,4856579.0,-1.73,-1.73,2428288.63,20066.67,11055.91,21681.16,2.81,2.83,0.46,7.5,0.05,0.05,3.77,1.55,1.23,0.54,7.94,0.02,0.02,3.98,3.04,3.16,0.47,7.9,0.05,0.05,3.98,90.82,96.8,49.38,0.03,0.0,0.03,1.0,0.0,3.7,145.88,0.0,4652.0,0.0,194.5,218.58,0.01,1.01,0.71,0.0,4674.0,0.0,160000.0,0.19,55399.0,104601.0,95064.0,64936.0,61509.0,98491.0,0.0
194.0,598.05,31558.02,6568413.0,7.6,7.6,3284210.3,150.0,-1288.99,29144.62,5941529.0,-2.3,-2.3,2970763.35,201.0,-1021.41,31469.12,6524774.0,-2.38,-2.38,3262385.81,29323.27,26524.68,29128.46,4.11,4.46,0.47,7.39,0.13,0.13,3.76,3.71,3.57,0.43,7.69,0.25,0.25,3.97,4.08,4.49,0.46,7.39,0.11,0.11,3.75,137.36,130.04,118.42,0.12,0.0,0.05,1.0,0.0,0.82,6.43,0.0,19715.0,0.0,199.75,228.92,0.0,1.0,0.47,0.0,20544.0,0.0,160000.0,0.54,91928.0,68072.0,88318.0,71682.0,74711.0,85289.0,2.0
35.0,834.53,21537.93,4490339.0,-7.53,-7.53,2245165.74,24.0,-497.62,12356.99,2406032.0,-0.07,-0.07,1203015.96,36.0,770.36,22500.12,4546267.0,-1.41,-1.41,2273132.8,20046.16,10741.21,20295.83,2.81,2.92,0.36,6.56,0.42,0.42,3.49,1.5,1.38,0.23,5.14,0.06,0.06,2.6,2.84,3.15,0.46,7.01,0.16,0.16,3.59,103.15,90.61,47.96,0.08,0.0,0.04,1.0,0.0,2.37,27.58,0.0,12509.0,0.0,199.75,228.92,0.0,1.0,0.44,0.0,14265.0,0.0,160000.0,0.4,75460.0,84540.0,83354.0,76646.0,65411.0,94589.0,0.0
82.0,348.01,88261.07,54609716.0,2.0,2.0,27304859.0,71.0,-294.93,79694.15,48454114.0,0.43,0.43,24227057.22,82.0,-16.38,87910.79,54417946.0,-1.46,-1.46,27208972.27,84596.41,75060.71,84299.33,4.11,3.98,0.24,7.03,0.86,1.05,3.95,3.65,3.5,0.3,7.3,0.63,0.89,3.97,4.1,4.0,0.23,7.04,0.86,2.27,3.95,137.59,130.59,116.28,0.04,0.0,0.06,1.0,0.0,2.16,29.47,0.0,6259.0,0.0,199.75,223.78,0.0,1.0,0.41,0.0,6465.0,0.0,160000.0,0.24,82176.0,77824.0,84275.0,75725.0,81763.0,78237.0,1.0
139.0,586.17,28349.16,6205058.0,3.7,3.7,3102530.85,70.0,171.52,16809.54,3155314.0,-2.4,-2.4,1577655.8,139.0,378.92,31205.83,6818147.0,-2.54,-2.54,3409072.23,27701.15,14086.22,30438.16,3.88,3.98,0.19,6.52,1.25,1.25,3.88,1.97,1.7,0.25,6.54,0.03,0.03,3.29,4.26,4.4,0.23,6.87,1.54,1.54,4.21,122.85,135.89,62.89,0.04,0.0,0.08,1.0,0.0,1.97,25.28,0.0,6670.0,0.0,190.75,219.02,0.01,1.02,0.68,0.0,6796.0,0.0,160000.0,0.25,83024.0,76976.0,93970.0,66030.0,69768.0,90232.0,3.0
236.0,-904.16,35284.98,6973763.0,2.64,2.64,3486882.82,229.0,-908.17,28978.98,5778034.0,9.25,9.25,2889021.62,235.0,926.71,36123.29,7107052.0,-4.17,-4.17,3553523.92,31132.87,25794.79,31727.91,4.36,3.56,0.55,7.58,0.61,0.61,4.09,3.61,3.08,0.37,7.4,0.52,0.52,3.96,4.44,3.62,0.57,7.58,0.59,0.59,4.09,142.83,141.65,115.16,0.05,0.0,0.08,1.0,0.0,0.92,5.23,0.0,7266.0,0.0,199.75,215.31,0.0,1.01,0.81,0.0,7429.0,0.0,160000.0,0.27,78507.0,81493.0,78406.0,81594.0,81857.0,78143.0,2.0
12.0,-685.4,49777.97,18927758.0,-7.42,-7.42,9463875.29,5.0,1701.84,44329.43,15645482.0,-0.66,-0.66,7822740.67,15.0,1027.96,51304.52,19847701.0,-10.37,-10.37,9923845.32,38548.53,31863.8,40422.09,2.46,1.86,0.59,7.4,0.08,0.14,3.74,2.03,1.14,0.6,7.52,0.02,0.09,3.77,2.58,2.09,0.58,7.55,0.08,0.19,3.82,76.19,82.32,64.9,0.03,0.0,0.06,1.0,0.0,2.15,23.96,0.0,4369.0,0.0,199.75,188.5,0.0,1.0,0.82,0.0,4568.0,0.0,160000.0,0.18,65147.0,94853.0,64899.0,95101.0,64230.0,95770.0,1.0
49.0,313.33,23643.56,4971333.0,0.03,0.03,2485666.52,31.0,195.36,12369.39,2251373.0,0.33,0.33,1125686.67,53.0,-28.29,29308.1,6144020.0,0.92,0.92,3072010.46,22193.45,10050.77,27428.66,3.11,2.89,0.31,6.74,0.39,0.39,3.57,1.41,1.06,0.63,7.68,0.13,0.13,3.91,3.84,4.09,0.31,7.53,0.39,0.39,3.96,73.91,122.45,44.87,0.03,0.0,0.06,1.0,0.0,1.23,9.08,0.0,5329.0,0.0,199.75,228.92,0.0,1.0,0.63,0.0,5760.0,0.0,160000.0,0.21,53501.0,106499.0,82681.0,77319.0,53081.0,106919.0,3.0
125.0,217.76,26008.11,5620655.0,0.14,0.14,2810327.57,155.0,223.12,31431.51,6724201.0,-1.05,-1.05,3362099.98,128.0,-247.46,26645.83,5749222.0,1.76,1.76,2874611.88,25092.21,30018.75,25666.17,3.51,4.13,0.53,4.56,0.14,4.14,2.35,4.2,5.07,0.68,5.28,0.1,5.08,2.69,3.59,4.23,0.55,4.53,0.15,4.24,2.34,98.45,114.58,134.01,0.03,0.0,0.11,1.0,0.0,1.07,3.59,0.0,5043.0,0.0,199.75,161.67,0.0,1.36,0.74,0.0,5153.0,0.0,160000.0,0.2,125168.0,34832.0,120743.0,39257.0,118882.0,41118.0,2.0
42.0,-756.42,373594.23,781691515.0,-0.25,-0.25,390845757.4,35.0,235.34,371487.54,763703998.0,-0.67,-0.67,381851998.7,41.0,-829.92,372733.46,778620689.0,1.13,1.13,389310345.1,343817.3,335905.71,342466.63,4.74,4.97,0.15,7.95,0.03,5.46,3.99,4.63,4.89,0.17,7.96,0.02,7.84,3.99,4.72,4.97,0.15,7.95,0.02,7.84,3.98,153.77,150.63,147.74,0.05,0.0,0.06,1.0,0.0,1.37,5.83,0.0,7627.0,0.0,199.75,228.92,0.0,1.0,0.77,0.0,8606.0,0.0,160000.0,0.28,92813.0,67187.0,93910.0,66090.0,93582.0,66418.0,1.0
