FFT Gray Avg,FFT Gray Median,FFT Gray SD,FFT Gray Max,FFT Gray Min,FFT Gray Mode,FFT Gray Midpoint,FFT Gray Var,FFT Red Avg,FFT Red Median,FFT Red SD,FFT Red Max,FFT Red Min,FFT Red Mode,FFT Red Midpoint,FFT Red Var,FFT Green Avg,FFT Green Median,FFT Green SD,FFT Green Max,FFT Green Min,FFT Green Mode,FFT Green Midpoint,FFT Green Var,DCT Gray,DCT Red,DCT Green,Wavelet Gray Avg,Wavelet Gray Median,Wavelet Gray SD,Wavelet Gray Max,Wavelet Gray Min,Wavelet Gray Mode,Wavelet Gray Midpoint,Wavelet Gray Var,Wavelet Red Avg,Wavelet Red Median,Wavelet Red SD,Wavelet Red Max,Wavelet Red Min,Wavelet Red Mode,Wavelet Red Midpoint,Wavelet Red Var,Wavelet Green Avg,Wavelet Green Median,Wavelet Green SD,Wavelet Green Max,Wavelet Green Min,Wavelet Green Mode,Wavelet Green Midpoint,Wavelet Green Var
105.00000,-156.58233,21365.03543,4171184.00000,0.28868,0.28868,2085592.14400,37300000000000000000.00000,50.00000,852.37262,16934.57654,2943802.00000,6.56484,6.56484,1471904.28200,8790000000000000000.00000,132.00000,377.85389,21079.95758,4012696.00000,-2.43429,-2.43429,2006346.78300,31600000000000000000.00000,18621.35714,13141.97321,17913.82143,2.60803,2.17623,0.37233,6.84020,0.27549,0.27549,3.55784,1.31151,1.84061,1.30588,0.44717,7.03824,0.03578,0.03578,3.53701,1.70514,2.50894,1.85319,0.40588,6.90637,0.24216,0.24216,3.57426,1.90748
80.00000,-135.00183,26630.25278,5283815.00000,-0.20279,-0.20279,2641907.39900,80800000000000000000.00000,4.00000,269.79398,18186.16086,3022508.00000,2.74262,2.74262,1511255.37100,11500000000000000000.00000,100.00000,459.59923,28275.40242,5476428.00000,-6.56528,-6.56528,2738210.71700,101000000000000000000.00000,23588.45982,13493.33929,24448.33929,3.30371,3.68995,0.27917,7.18971,0.00000,0.00000,3.59485,0.91974,1.88982,1.27794,0.43341,7.30049,0.00000,0.00000,3.65025,1.84672,3.42414,3.28051,0.30108,7.72402,0.00000,0.00000,3.86201,1.16376
157.00000,-1029.74519,24431.17769,5149970.00000,4.34750,4.34750,2574987.17400,66200000000000000000.00000,152.00000,255.51515,20253.32387,3969264.00000,-2.73373,-2.73373,1984630.63300,24200000000000000000.00000,169.00000,930.83243,25398.87690,5263654.00000,-0.47427,-0.47427,2631826.76300,73000000000000000000.00000,22990.93750,17719.92857,23498.45536,3.22002,3.09044,0.31039,7.52255,0.43235,0.43235,3.97745,0.48837,2.48178,2.27525,0.33315,7.65294,0.09951,0.09951,3.87623,0.79912,3.29110,3.21078,0.36988,7.51373,0.23088,0.23088,3.87230,0.86871
129.00000,-349.07330,22606.96244,4399923.00000,-3.55622,-3.55622,2199959.72200,38300000000000000000.00000,115.00000,-281.63453,13208.24927,2187433.00000,2.92605,2.92605,1093717.96300,2760000000000000000.00000,130.00000,-241.72843,23693.14245,4208839.00000,-1.95470,-1.95470,2104418.52300,36800000000000000000.00000,19642.51339,9765.32589,18789.45982,2.75105,2.39485,0.44896,6.94118,0.00000,0.00000,3.47059,1.92531,1.36769,0.48983,0.21691,5.60294,0.00000,0.00000,2.80147,0.24600,2.63158,2.12353,0.55007,7.24363,0.00000,0.00000,3.62181,3.71007
141.00000,-319.09122,27245.78055,5824453.00000,-3.22195,-3.22195,2912224.88900,105000000000000000000.00000,83.00000,743.40876,21948.23746,4467520.00000,-14.39792,-14.39792,2233752.80100,36700000000000000000.00000,154.00000,160.66129,27473.83916,5716825.00000,-8.15503,-8.15503,2858408.42200,99300000000000000000.00000,26002.02232,19944.28571,25521.54018,3.64174,3.75564,0.36228,7.95343,0.56961,0.74461,4.26152,0.67829,2.79332,2.54779,0.42875,7.96373,0.12647,0.12647,4.04510,1.34382,3.57445,3.82831,0.51034,7.95392,0.09118,0.09118,4.02255,1.80899
83.00000,365.61606,21139.89287,4179473.00000,-6.83352,-6.83352,2089733.08300,32800000000000000000.00000,46.00000,129.83536,15252.52796,2766194.00000,0.07509,0.07509,1383097.03800,6120000000000000000.00000,95.00000,352.04162,21048.92648,4148579.00000,-0.11748,-0.11748,2074289.44100,30400000000000000000.00000,18658.36161,12349.08036,18520.44196,2.61322,2.75882,0.25981,7.38775,0.10147,0.10147,3.74461,0.53175,1.72956,1.89154,0.43721,7.46275,0.06765,0.14853,3.76520,0.93127,2.59390,2.88407,0.28043,7.39314,0.10147,0.10147,3.74730,0.62025
94.00000,-461.25080,14376.07149,2894163.00000,-6.93648,-6.93648,1447078.03200,6760000000000000000.00000,78.00000,457.92048,8548.26294,1696724.00000,4.28709,4.28709,848364.14350,771000000000000000.00000,101.00000,132.11137,13531.92048,2793633.00000,2.47104,2.47104,1396817.73600,5620000000000000000.00000,12920.37054,7574.66071,12471.57589,1.80958,1.61679,0.33333,4.98922,0.11667,0.28284,2.55294,0.33606,1.06088,0.88542,0.11888,4.02255,0.09706,0.10245,2.05980,0.01721,1.74672,1.69277,0.23938,4.49314,0.11569,0.11569,2.30441,0.12165
117.00000,-490.11066,20813.57974,4337494.00000,-6.79073,-6.79073,2168743.60500,35600000000000000000.00000,62.00000,924.44562,7251.14616,1103070.00000,13.32946,13.32946,551541.66470,243000000000000000.00000,126.00000,89.80221,22610.60221,4384571.00000,0.27792,0.27792,2192285.63900,38900000000000000000.00000,19363.81250,4924.41964,19573.97768,2.71202,2.44926,0.35224,6.03186,0.34461,0.34461,3.18824,0.65827,0.68969,0.29583,0.20306,4.79412,0.00539,0.01618,2.39975,0.11727,2.74145,2.46814,0.54123,6.88725,0.02353,0.02353,3.45539,2.87671
52.00000,-561.72226,17616.68806,3058135.00000,-1.65066,-1.65066,1529066.67500,11100000000000000000.00000,25.00000,-424.60439,13974.71598,1903728.00000,7.28815,7.28815,951867.64410,2220000000000000000.00000,66.00000,-428.03019,17733.87388,3080297.00000,2.40428,2.40428,1540149.70200,11100000000000000000.00000,13652.38839,8498.78571,13751.32589,1.91210,1.58456,0.56046,7.99510,0.00000,0.00000,3.99755,2.98803,1.19031,0.53848,0.72078,7.98824,0.00000,0.00000,3.99412,4.51481,1.92596,1.64620,0.58945,7.99706,0.00000,0.00000,3.99853,3.18446
173.00000,-127.91482,28072.27863,5833592.00000,2.28925,2.28925,2916797.14500,117000000000000000000.00000,173.00000,-669.67034,26526.49111,5151622.00000,0.58400,0.58400,2575811.29200,75800000000000000000.00000,165.00000,884.23769,27815.15314,5717027.00000,8.96116,8.96116,2858517.98100,110000000000000000000.00000,26042.82143,22998.31250,25522.44196,3.64745,3.18873,0.38709,7.69510,0.22059,0.22059,3.95784,1.24531,3.22105,2.29804,0.40544,7.85931,0.24167,0.24167,4.05049,1.75176,3.57457,2.98346,0.39752,7.58873,0.22402,0.22402,3.90637,1.35515
