Red,Green,Blue,Gray_Average,Gray_Median,Gray_SD,Gray_Max,Gray_Min,Gray_Skewness,Gray_Kurtusis,Gray_IQR,Area_Mean,Area_SD,BoundingBox_Mean,BoundingBox_SD,BoundingBox_Skewness,BoundingBox_Kurtusis,Eccentricity_Mean,Eccentricity_SD,FilledArea_Mean,FilledArea_SD,Area,Entropy,Above_Red,Above_Green,Above_Blue,Below_Red,Below_Green,Below_Blue,Target
104.78247,69.07389,65.49081,0.06236,0,0.04857,1,0,1.56714,10.11432,0,9977,0,199.75,228.91938,0,1,0.49377,0,10792,0,160000,0.33673,66286,93714,67073,92927,59254,100746,0
129.48716,99.68831,82.66548,0.04363,0,0.04777,1,0,0.25851,5.05424,0,6980,0,199.75,228.91938,0,1,0.45518,0,7064,0,160000,0.25867,80699,79301,82183,77817,71397,88603,0
140.83649,114.03603,87.40355,0.07628,0,0.05007,1,0,0.40863,3.77877,0,12205,0,199.75,228.91938,0,1,0.62987,0,13349,0,160000,0.38894,88679,71321,77740,82260,75826,84174,0
86.60796,63.32364,31.14906,0.02324,0,0.05903,1,0,1.5859,16.36028,0,3719,0,192.5,220.86534,0.00861,1.01147,0.63817,0,3829,0,160000,0.15929,44025,115975,97633,62367,70975,89025,0
109.23513,101.83782,71.42404,0.05343,0,0.05638,1,0,3.53949,21.49529,0,8548,0,199.75,220.42932,0,1.00616,0.52515,0,9432,0,160000,0.30077,71510,88490,82088,77912,69038,90962,0
119.14599,110.70649,88.27813,0.07211,0,0.06506,1,0,3.68971,35.62164,0,11537,0,199.75,228.91938,0,1,0.55912,0,11903,0,160000,0.37374,99028,60972,98838,61162,91487,68513,0
109.86269,101.44688,91.49449,0.06053,0,0.03482,1,0,0.50223,7.4735,0,9684,0,199.75,228.91938,0,1,0.49215,0,11161,0,160000,0.32953,79861,80139,81963,78037,74614,85386,0
99.85658,86.91053,49.68846,0.02328,0,0.05799,1,0,0.46248,3.6992,0,3725,0,190.5,189.50858,-0.03428,1.05376,0.74872,0,3763,0,160000,0.15949,76238,83762,90721,69279,72762,87238,0
146.61406,90.85661,68.89954,0.02919,0,0.06637,1,0,1.0687,16.27548,0,4670,0,199.75,228.91938,0,1,0.42261,0,5387,0,160000,0.1903,82610,77390,80238,79762,53332,106668,0
103.15103,90.60661,47.95978,0.07818,0,0.04061,1,0,2.36741,27.58497,0,12509,0,199.75,228.91938,0,1,0.43868,0,14265,0,160000,0.39574,75460,84540,83354,76646,65411,94589,0
106.2124,112.38289,83.38154,0.04724,0,0.0492,1,0,1.43638,12.48457,0,7558,0,199.75,217.67885,0,1.01122,0.79322,0,7848,0,160000,0.27454,70942,89058,94054,65946,62789,97211,0
128.79046,106.2796,98.01886,0.02996,0,0.0427,1,0,1.7677,12.21316,0,4794,0,199,228.05665,0.00009,1.00012,0.49497,0,4811,0,160000,0.1942,76474,83526,66611,93389,60537,99463,0
128.66885,138.95935,84.97238,0.05034,0,0.08315,1,0,2.26802,28.76155,0,8055,0,197,222.40166,0.00256,1.00438,0.42546,0,8205,0,160000,0.28786,71495,88505,97778,62222,57826,102174,0
97.71679,80.22463,46.5127,0.08057,0,0.04855,1,0,1.13646,6.73534,0,12891,0,199.75,228.91938,0,1,0.49735,0,13630,0,160000,0.40418,75152,84848,73283,86717,62172,97828,0
